TS,PRECTOTCORR,WS10M,Cluster
26.71,9.3,2.68,TIDAK BERPOTENSI UPWELLING
26.73,13.66,2.09,TIDAK BERPOTENSI UPWELLING
26.75,6.64,1.67,TIDAK BERPOTENSI UPWELLING
26.63,1.57,1.47,TIDAK BERPOTENSI UPWELLING
26.73,8.68,1.87,TIDAK BERPOTENSI UPWELLING
26.73,11.33,1.56,TIDAK BERPOTENSI UPWELLING
26.27,15.61,2.08,TIDAK BERPOTENSI UPWELLING
26.67,7.86,1.86,TIDAK BERPOTENSI UPWELLING
26.25,4.15,1.98,TIDAK BERPOTENSI UPWELLING
27.22,6.89,2.08,TIDAK BERPOTENSI UPWELLING
27.5,14.14,1.87,TIDAK BERPOTENSI UPWELLING
27.71,41.21,2.02,BERPOTENSI UPWELLING
27.69,6.85,1.52,TIDAK BERPOTENSI UPWELLING
27.77,10.05,1.0,TIDAK BERPOTENSI UPWELLING
27.65,23.81,1.38,TIDAK BERPOTENSI UPWELLING
27.3,47.51,1.62,BERPOTENSI UPWELLING
27.44,8.55,1.45,TIDAK BERPOTENSI UPWELLING
26.87,35.15,2.48,BERPOTENSI UPWELLING
27.04,18.54,2.9,TIDAK BERPOTENSI UPWELLING
26.63,31.46,2.98,BERPOTENSI UPWELLING
26.94,6.89,3.79,TIDAK BERPOTENSI UPWELLING
26.94,13.79,2.98,TIDAK BERPOTENSI UPWELLING
26.78,16.33,2.46,TIDAK BERPOTENSI UPWELLING
26.33,59.82,2.53,BERPOTENSI UPWELLING
26.3,30.97,2.92,BERPOTENSI UPWELLING
26.49,9.53,3.47,TIDAK BERPOTENSI UPWELLING
26.3,16.69,1.41,TIDAK BERPOTENSI UPWELLING
26.47,3.66,1.32,TIDAK BERPOTENSI UPWELLING
26.4,1.64,1.68,TIDAK BERPOTENSI UPWELLING
27.01,1.08,1.37,TIDAK BERPOTENSI UPWELLING
26.76,0.23,2.02,TIDAK BERPOTENSI UPWELLING
26.89,1.21,2.21,TIDAK BERPOTENSI UPWELLING
27.13,1.98,1.54,TIDAK BERPOTENSI UPWELLING
27.01,2.52,2.29,TIDAK BERPOTENSI UPWELLING
27.19,3.1,1.5,TIDAK BERPOTENSI UPWELLING
26.93,4.76,2.31,TIDAK BERPOTENSI UPWELLING
27.12,6.18,1.52,TIDAK BERPOTENSI UPWELLING
26.48,39.02,3.03,BERPOTENSI UPWELLING
25.98,32.21,2.56,BERPOTENSI UPWELLING
26.13,11.09,3.03,TIDAK BERPOTENSI UPWELLING
26.49,5.75,2.02,TIDAK BERPOTENSI UPWELLING
26.16,5.13,2.9,TIDAK BERPOTENSI UPWELLING
26.56,3.67,2.96,TIDAK BERPOTENSI UPWELLING
26.43,7.36,1.8,TIDAK BERPOTENSI UPWELLING
26.15,15.28,2.0,TIDAK BERPOTENSI UPWELLING
26.39,12.35,2.72,TIDAK BERPOTENSI UPWELLING
26.19,13.2,2.29,TIDAK BERPOTENSI UPWELLING
26.23,7.42,1.48,TIDAK BERPOTENSI UPWELLING
26.75,0.35,1.86,TIDAK BERPOTENSI UPWELLING
27.15,1.06,1.34,TIDAK BERPOTENSI UPWELLING
27.22,4.23,1.9,TIDAK BERPOTENSI UPWELLING
27.08,20.94,2.18,TIDAK BERPOTENSI UPWELLING
26.5,16.04,2.19,TIDAK BERPOTENSI UPWELLING
26.98,2.99,2.88,TIDAK BERPOTENSI UPWELLING
26.73,5.65,1.95,TIDAK BERPOTENSI UPWELLING
26.84,6.3,1.93,TIDAK BERPOTENSI UPWELLING
26.33,6.77,1.94,TIDAK BERPOTENSI UPWELLING
26.05,6.53,1.11,TIDAK BERPOTENSI UPWELLING
26.26,12.82,2.08,TIDAK BERPOTENSI UPWELLING
26.4,12.74,1.02,TIDAK BERPOTENSI UPWELLING
27.15,17.3,1.3,TIDAK BERPOTENSI UPWELLING
27.08,19.14,1.39,TIDAK BERPOTENSI UPWELLING
27.01,16.75,1.07,TIDAK BERPOTENSI UPWELLING
27.12,0.53,1.53,TIDAK BERPOTENSI UPWELLING
27.48,0.89,2.12,TIDAK BERPOTENSI UPWELLING
27.27,4.49,2.98,TIDAK BERPOTENSI UPWELLING
27.32,3.63,2.02,TIDAK BERPOTENSI UPWELLING
27.35,57.22,1.9,BERPOTENSI UPWELLING
27.03,27.89,1.72,BERPOTENSI UPWELLING
26.83,11.59,1.52,TIDAK BERPOTENSI UPWELLING
27.13,13.85,1.55,TIDAK BERPOTENSI UPWELLING
27.07,12.41,1.7,TIDAK BERPOTENSI UPWELLING
27.25,10.56,1.5,TIDAK BERPOTENSI UPWELLING
27.26,0.46,1.13,TIDAK BERPOTENSI UPWELLING
27.08,0.32,1.88,TIDAK BERPOTENSI UPWELLING
26.75,1.74,1.94,TIDAK BERPOTENSI UPWELLING
26.85,8.05,2.02,TIDAK BERPOTENSI UPWELLING
26.42,6.67,2.4,TIDAK BERPOTENSI UPWELLING
27.08,0.92,2.0,TIDAK BERPOTENSI UPWELLING
27.2,1.33,1.84,TIDAK BERPOTENSI UPWELLING
27.29,3.55,1.92,TIDAK BERPOTENSI UPWELLING
26.88,4.27,1.68,TIDAK BERPOTENSI UPWELLING
26.72,2.82,2.1,TIDAK BERPOTENSI UPWELLING
27.12,5.74,1.97,TIDAK BERPOTENSI UPWELLING
26.89,13.41,2.2,TIDAK BERPOTENSI UPWELLING
26.46,5.21,1.72,TIDAK BERPOTENSI UPWELLING
26.72,15.48,1.63,TIDAK BERPOTENSI UPWELLING
26.72,9.31,2.23,TIDAK BERPOTENSI UPWELLING
26.95,5.95,1.55,TIDAK BERPOTENSI UPWELLING
26.95,9.9,1.47,TIDAK BERPOTENSI UPWELLING
27.37,8.84,1.74,TIDAK BERPOTENSI UPWELLING
27.15,9.4,1.82,TIDAK BERPOTENSI UPWELLING
26.85,10.07,1.05,TIDAK BERPOTENSI UPWELLING
26.45,7.14,2.27,TIDAK BERPOTENSI UPWELLING
26.89,8.61,1.72,TIDAK BERPOTENSI UPWELLING
27.71,4.3,1.76,TIDAK BERPOTENSI UPWELLING
27.85,2.72,2.01,TIDAK BERPOTENSI UPWELLING
27.83,3.01,1.79,TIDAK BERPOTENSI UPWELLING
27.92,3.8,1.18,TIDAK BERPOTENSI UPWELLING
27.69,1.3,1.51,TIDAK BERPOTENSI UPWELLING
27.69,1.03,1.32,TIDAK BERPOTENSI UPWELLING
27.65,0.93,1.53,TIDAK BERPOTENSI UPWELLING
27.75,1.03,1.54,TIDAK BERPOTENSI UPWELLING
28.01,3.06,2.22,TIDAK BERPOTENSI UPWELLING
27.65,11.19,2.55,TIDAK BERPOTENSI UPWELLING
27.69,0.51,2.11,TIDAK BERPOTENSI UPWELLING
27.45,2.76,2.76,TIDAK BERPOTENSI UPWELLING
27.91,3.1,2.38,TIDAK BERPOTENSI UPWELLING
27.44,9.29,1.9,TIDAK BERPOTENSI UPWELLING
27.33,4.77,1.77,TIDAK BERPOTENSI UPWELLING
26.87,2.55,1.73,TIDAK BERPOTENSI UPWELLING
27.98,1.91,1.98,TIDAK BERPOTENSI UPWELLING
27.87,6.54,2.19,TIDAK BERPOTENSI UPWELLING
27.55,17.33,2.98,TIDAK BERPOTENSI UPWELLING
27.45,6.41,2.76,TIDAK BERPOTENSI UPWELLING
27.32,4.65,2.98,TIDAK BERPOTENSI UPWELLING
27.01,9.68,4.63,TIDAK BERPOTENSI UPWELLING
27.47,4.08,2.95,TIDAK BERPOTENSI UPWELLING
27.6,1.48,2.33,TIDAK BERPOTENSI UPWELLING
27.41,15.1,2.06,TIDAK BERPOTENSI UPWELLING
27.4,36.38,2.25,BERPOTENSI UPWELLING
27.26,10.73,2.05,TIDAK BERPOTENSI UPWELLING
27.86,3.38,1.62,TIDAK BERPOTENSI UPWELLING
27.63,10.28,1.75,TIDAK BERPOTENSI UPWELLING
27.05,51.69,3.76,BERPOTENSI UPWELLING
26.69,41.27,2.1,BERPOTENSI UPWELLING
26.91,0.79,1.42,TIDAK BERPOTENSI UPWELLING
27.47,11.82,1.44,TIDAK BERPOTENSI UPWELLING
27.68,7.74,2.24,TIDAK BERPOTENSI UPWELLING
27.21,21.06,1.84,TIDAK BERPOTENSI UPWELLING
27.18,30.89,2.53,BERPOTENSI UPWELLING
27.31,6.31,1.84,TIDAK BERPOTENSI UPWELLING
27.1,18.73,0.92,TIDAK BERPOTENSI UPWELLING
27.4,4.99,1.57,TIDAK BERPOTENSI UPWELLING
